number,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravitation
0,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,413.7736760058701
1,11 Ursae Minoris b,410.0,4684.372,5.016,2009,Gas Giant,12.208,1.53 AU,1.4 years,0.08,11 UMi,Radial Velocity,,,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79,308.6406510315985
2,14 Andromedae b,247.0,1525.44,5.227,2008,Gas Giant,12.879999999999999,0.83 AU,185.8 days,0.0,14 And,Radial Velocity,,,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0,90.29302341814297
3,14 Herculis b,59.0,1480.948,6.61,2002,Gas Giant,12.879999999999999,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,,,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93,87.65947690178047
4,16 Cygni B b,69.0,565.6840000000001,6.25,1996,Gas Giant,13.44,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,,,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13,30.751488972436267
5,18 Delphini b,249.0,3273.34,5.506,2008,Gas Giant,12.432,2.6 AU,2.7 years,0.08,18 Del,Radial Velocity,,,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5,207.96962363479847
6,1RXS J160929.1-210524 b,473.0,2542.4,12.057,2008,Gas Giant,18.636799999999997,330.0 AU,6505.9 years,0.0,1RXS J160929.1-210524,Imaging,,,16h09m30.30s,-21d04m58.9s,4060.0,0.85,,71.8773375564931
7,24 Bootis b,314.0,289.19800000000004,5.58,2018,Gas Giant,13.888,0.19 AU,30.4 days,0.04,24 Boo,Radial Velocity,,,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64,14.723350833299412
8,24 Sextantis b,236.0,632.422,6.441,2010,Gas Giant,13.328,1.333 AU,452.8 days,0.09,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9,34.959707663401126
9,24 Sextantis c,236.0,273.308,6.441,2010,Gas Giant,13.888,2.08 AU,2.4 years,0.29,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9,13.914375512788453
10,2MASS J01033563-5515561 AB b,154.0,4131.400000000001,,2013,Gas Giant,12.32,84.0 AU,1767.2 years,0.0,2MASS J01033563-5515561 A,Imaging,,,01h03m35.63s,-55d15m56.1s,,0.19,,267.2800972996596
